optimizer,objective,n_dim,evals_to_target_mean,evals_to_target_std,success_rate,mean_time_per_evaluation
simulated_annealing,rosenbrock,50,,,0.0,1.0751977314609082e-05
simulated_annealing,sphere,5,,,0.0,1.0085450384588796e-05
simulated_annealing,sphere,20,,,0.0,1.066400400362711e-05
simulated_annealing,sphere,50,,,0.0,1.0751977314609082e-05
spsa,ackley,5,,,0.0,1.0176204975634055e-05
spsa,ackley,20,,,0.0,1.0424617857232017e-05
spsa,ackley,50,,,0.0,1.0908186573336858e-05
spsa,rastrigin,5,,,0.0,1.0176204975634055e-05
spsa,rastrigin,20,,,0.0,1.0424617857232017e-05
spsa,rastrigin,50,,,0.0,1.0908186573336858e-05
spsa,rosenbrock,5,,,0.0,1.0176204975634055e-05
spsa,rosenbrock,20,,,0.0,1.0424617857232017e-05
spsa,rosenbrock,50,,,0.0,1.0908186573336858e-05
spsa,sphere,5,,,0.0,1.0176204975634055e-05
spsa,sphere,20,,,0.0,1.0424617857232017e-05
spsa,sphere,50,,,0.0,1.0908186573336858e-05
